game_id,round_id,timestamp,num_alive,num_killed
6e1a4d27-99a8-4981-8c44-b04e3ba9b66f,8,,6,3
44351127-0db0-4e59-9bad-3c00ce1395f3,8,,6,3
05f4445a-79ad-4463-83ca-a1a488940875,8,,6,3
eb8a2ac1-fc68-47e5-8e7e-b61631766a16,9,,6,3
a5669dac-aeec-45fd-a44b-37d1e680053b,9,,6,3
afd28e74-9518-4e43-a9e4-8e0060ed0fd2,9,,6,3
00bf24cb-966e-48ef-a6d1-8fd22e718052,9,,6,3
f0155743-1cc9-43b5-aed6-424b1c5ad2fd,9,,6,3
6e1a4d27-99a8-4981-8c44-b04e3ba9b66f,9,,6,3
44351127-0db0-4e59-9bad-3c00ce1395f3,9,,6,3
05f4445a-79ad-4463-83ca-a1a488940875,9,,6,3
eb8a2ac1-fc68-47e5-8e7e-b61631766a16,10,,6,3
